,Backdoor,DDoS_HTTP,DDoS_ICMP,DDoS_TCP,DDoS_UDP,Fingerprinting,MITM,Normal,Password,Port_Scanning,Ransomware,SQL_injection,Uploading,Vulnerability_scanner,XSS
Backdoor,1489,0,0,0,0,0,0,0,0,18,22,0,0,0,0
DDoS_HTTP,0,1306,0,0,0,0,0,0,278,0,0,0,0,0,0
DDoS_ICMP,0,0,2059,0,31,22,0,0,0,0,1,0,0,0,0
DDoS_TCP,0,0,0,1415,0,0,0,0,0,122,0,0,0,0,0
DDoS_UDP,0,0,0,0,2171,0,0,0,0,0,4,0,0,0,0
Fingerprinting,0,0,0,0,0,125,0,1,0,11,13,0,0,0,0
MITM,0,0,0,0,0,0,59,0,0,0,1,0,0,0,0
Normal,0,0,0,0,0,0,0,3630,0,6,9,0,0,0,0
Password,0,316,0,0,0,0,0,0,1167,0,0,0,16,0,0
Port_Scanning,0,0,0,0,0,0,0,0,0,1447,64,0,0,0,0
Ransomware,1,0,0,0,0,0,0,0,0,84,1554,0,0,0,0
SQL_injection,0,0,0,0,0,0,0,0,0,0,0,1546,0,0,0
Uploading,0,0,0,0,0,0,0,0,1,0,0,0,1540,0,0
Vulnerability_scanner,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0
XSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508
