file_name,file_path,file_type,file_size,rows,columns,attack_type,traffic_type,protocol,source,usable_for_ml,reason_if_not_used
Backdoor_attack.csv,Edge-IIoTset dataset/Attack traffic/Backdoor_attack.csv,.csv,17.06 MB,44724,63,Backdoor,Attack,TCP Reverse Shell / Payload,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
Backdoor_attack.pcap,Edge-IIoTset dataset/Attack traffic/Backdoor_attack.pcap,.pcap,6.38 MB,--,--,Backdoor,Attack,TCP Reverse Shell / Payload,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
DDoS HTTP Flood Attacks.pcap,Edge-IIoTset dataset/Attack traffic/DDoS HTTP Flood Attacks.pcap,.pcap,27.00 MB,--,--,DDoS HTTP Flood Attacks,Attack,Network Telemetry,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
DDoS ICMP Flood Attacks.pcap,Edge-IIoTset dataset/Attack traffic/DDoS ICMP Flood Attacks.pcap,.pcap,202.59 MB,--,--,DDoS ICMP Flood Attacks,Attack,Network Telemetry,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
DDoS TCP SYN Flood Attacks.pcap,Edge-IIoTset dataset/Attack traffic/DDoS TCP SYN Flood Attacks.pcap,.pcap,269.52 MB,--,--,DDoS TCP SYN Flood Attacks,Attack,Network Telemetry,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
DDoS UDP Flood Attacks.pcap,Edge-IIoTset dataset/Attack traffic/DDoS UDP Flood Attacks.pcap,.pcap,236.09 MB,--,--,DDoS UDP Flood Attacks,Attack,Network Telemetry,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
DDoS_HTTP_Flood_attack.csv,Edge-IIoTset dataset/Attack traffic/DDoS_HTTP_Flood_attack.csv,.csv,91.28 MB,239274,63,DDoS HTTP Flood,Attack,HTTP / Layer 7,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
DDoS_ICMP_Flood_attack.csv,Edge-IIoTset dataset/Attack traffic/DDoS_ICMP_Flood_attack.csv,.csv,850.75 MB,2230200,63,DDoS ICMP Flood,Attack,ICMP / Network Layer,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
DDoS_TCP_SYN_Flood_attack.csv,Edge-IIoTset dataset/Attack traffic/DDoS_TCP_SYN_Flood_attack.csv,.csv,897.59 MB,2352971,63,DDoS TCP SYN Flood,Attack,TCP SYN / Transport Layer,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
DDoS_UDP_Flood_attack.csv,Edge-IIoTset dataset/Attack traffic/DDoS_UDP_Flood_attack.csv,.csv,858.53 MB,2250583,63,DDoS UDP Flood,Attack,UDP Flood / Transport Layer,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
MITM (ARP spoofing + DNS) Attack.pcap,Edge-IIoTset dataset/Attack traffic/MITM (ARP spoofing + DNS) Attack.pcap,.pcap,0.12 MB,--,--,MITM (ARP spoofing + DNS) Attack,Attack,ARP Spoofing / DNS Poisoning,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
MITM_attack.csv,Edge-IIoTset dataset/Attack traffic/MITM_attack.csv,.csv,0.31 MB,824,63,MITM,Attack,ARP Spoofing / DNS Poisoning,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
OS Fingerprinting attack.pcap,Edge-IIoTset dataset/Attack traffic/OS Fingerprinting attack.pcap,.pcap,0.11 MB,--,--,OS Fingerprinting attack,Attack,Network Telemetry,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
OS_Fingerprinting_attack.csv,Edge-IIoTset dataset/Attack traffic/OS_Fingerprinting_attack.csv,.csv,0.30 MB,777,63,OS Fingerprinting,Attack,TCP/IP / OS Scanning,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
Password attacks.pcap,Edge-IIoTset dataset/Attack traffic/Password attacks.pcap,.pcap,185.54 MB,--,--,Password attacks,Attack,SSH/Telnet / Brute Force,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
Password_attack.csv,Edge-IIoTset dataset/Attack traffic/Password_attack.csv,.csv,623.03 MB,1633225,63,Password,Attack,SSH/Telnet / Brute Force,Edge-IIoTset dataset/Attack traffic,True,"Fully extracted, normalized network & sensor flow telemetry"
Port Scanning attack.pcap,Edge-IIoTset dataset/Attack traffic/Port Scanning attack.pcap,.pcap,1.72 MB,--,--,Port Scanning attack,Attack,Network Telemetry,Edge-IIoTset dataset/Attack traffic,False,PCAP raw capture; features already extracted into corresponding CSV flow dataset by Edge-IIoTset authors
