Sample_ID,True_Label,Predicted_Label,Confidence,Error_Type,Key_Distinguishing_Feature,TCP_Dst_Port,Payload_Len,Flow_Len_Query
18732,DDoS_HTTP,Password,0.5081,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
4772,Password,DDoS_HTTP,0.7212,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
13402,Normal,Ransomware,0.8284,False Positive,len_payload,0.0,1.0,3.0
5194,Fingerprinting,Port_Scanning,0.8523,Cross-Attack Misclassification,tcp.srcport,0.0,3.0,3.0
18904,Password,DDoS_HTTP,0.7901,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
7840,Password,DDoS_HTTP,0.5239,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
6061,Password,DDoS_HTTP,0.8702,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
14317,DDoS_HTTP,Password,0.5252,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
4350,DDoS_HTTP,Password,0.6072,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
20978,Password,DDoS_HTTP,0.8619,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
5566,Password,DDoS_HTTP,0.6556,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
10964,DDoS_HTTP,Password,0.9591,Cross-Attack Misclassification,len_file_data,39926.0,2896.0,3.0
2070,Password,DDoS_HTTP,0.8229,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
6519,Password,DDoS_HTTP,0.9645,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
6723,Fingerprinting,Port_Scanning,0.8523,Cross-Attack Misclassification,tcp.srcport,0.0,3.0,3.0
21674,Normal,Ransomware,0.812,False Positive,len_payload,0.0,1.0,3.0
20942,DDoS_HTTP,Password,0.735,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
21072,Backdoor,Ransomware,0.8284,Cross-Attack Misclassification,len_payload,0.0,1.0,3.0
11692,Backdoor,Ransomware,0.812,Cross-Attack Misclassification,len_payload,0.0,1.0,3.0
11015,DDoS_HTTP,Password,0.9863,Cross-Attack Misclassification,len_file_data,59168.0,1.0,3.0
5852,DDoS_HTTP,Password,0.7642,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
7843,Password,DDoS_HTTP,0.5617,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
2047,Password,DDoS_HTTP,0.7478,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
8037,Password,DDoS_HTTP,0.9476,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
14520,Fingerprinting,Port_Scanning,0.8523,Cross-Attack Misclassification,tcp.srcport,0.0,3.0,3.0
8197,DDoS_HTTP,Password,0.9506,Cross-Attack Misclassification,len_file_data,44490.0,1.0,3.0
14992,Password,DDoS_HTTP,0.952,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
22811,DDoS_HTTP,Password,0.7652,Cross-Attack Misclassification,len_file_data,37036.0,1.0,3.0
20173,Password,DDoS_HTTP,0.8502,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
22483,DDoS_HTTP,Password,0.7932,Cross-Attack Misclassification,len_file_data,35038.0,1.0,3.0
6508,Password,DDoS_HTTP,0.8882,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
21601,Backdoor,Ransomware,0.812,Cross-Attack Misclassification,len_payload,0.0,1.0,3.0
4676,DDoS_HTTP,Password,0.5451,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
8835,Backdoor,Ransomware,0.812,Cross-Attack Misclassification,len_payload,0.0,1.0,3.0
21294,Password,DDoS_HTTP,0.6419,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
12146,Password,DDoS_HTTP,0.5354,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
19668,DDoS_HTTP,Password,0.6044,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
12166,DDoS_HTTP,Password,0.9299,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
18193,Backdoor,Ransomware,0.7762,Cross-Attack Misclassification,len_payload,0.0,1.0,3.0
14724,DDoS_HTTP,Password,0.5523,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
21915,Password,DDoS_HTTP,0.7905,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
14699,Backdoor,Ransomware,0.8284,Cross-Attack Misclassification,len_payload,0.0,1.0,3.0
19083,Password,DDoS_HTTP,0.682,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
22781,Backdoor,Ransomware,0.8284,Cross-Attack Misclassification,len_payload,0.0,1.0,3.0
22298,Password,DDoS_HTTP,0.9778,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
4560,Backdoor,Ransomware,0.9861,Cross-Attack Misclassification,tcp.dstport,4321.0,1.0,3.0
14593,Password,DDoS_HTTP,0.5848,Cross-Attack Misclassification,len_file_data,80.0,1.0,3.0
8303,DDoS_HTTP,Password,0.8842,Cross-Attack Misclassification,len_file_data,34502.0,1.0,3.0
12609,DDoS_HTTP,Password,0.6948,Cross-Attack Misclassification,len_file_data,57728.0,1.0,3.0
14115,DDoS_HTTP,Password,0.705,Cross-Attack Misclassification,len_file_data,36940.0,1.0,3.0
