Sample_Index,Attack_Type,Predicted_Class,Confidence,Top_Feature_1,Feature_1_Val,Top_Feature_2,Feature_2_Val,Attribution
20525,Backdoor,Normal,0.4626,tcp.ack,-0.0021,len_payload,-0.0741,Missed Backdoor attack (low payload/anomaly score)
3448,Backdoor,Normal,0.4621,tcp.ack,-0.0021,len_payload,-0.0741,Missed Backdoor attack (low payload/anomaly score)
22173,Backdoor,Normal,0.4622,tcp.ack,-0.0021,len_payload,-0.0741,Missed Backdoor attack (low payload/anomaly score)
6261,Ransomware,Normal,0.4624,tcp.ack,-0.0021,len_payload,-0.0741,Missed Ransomware attack (low payload/anomaly score)
13258,Ransomware,Normal,0.4626,tcp.ack,-0.0021,len_payload,-0.0741,Missed Ransomware attack (low payload/anomaly score)
23428,Ransomware,Normal,0.4624,tcp.ack,-0.0021,len_payload,-0.0741,Missed Ransomware attack (low payload/anomaly score)
10788,Backdoor,Normal,0.4633,tcp.ack,-0.0021,len_payload,-0.0741,Missed Backdoor attack (low payload/anomaly score)
17439,Ransomware,Normal,0.4645,tcp.ack,-0.0021,len_payload,-0.0741,Missed Ransomware attack (low payload/anomaly score)
10006,Ransomware,Normal,0.4689,tcp.ack,-0.0021,len_payload,-0.0741,Missed Ransomware attack (low payload/anomaly score)
2684,Backdoor,Normal,0.4689,tcp.ack,-0.0021,len_payload,-0.0741,Missed Backdoor attack (low payload/anomaly score)
