Feature,MI_Score,RF_Importance,Permutation_Importance
tcp.dstport,1.3744360721051638,0.08754693418047328,0.0316666666666667
tcp.srcport,1.3502098307493307,0.09989582618411268,0.05188888888888891
tcp.ack,1.304306733331333,0.08511606783898905,0.034777777777777796
len_payload,1.1446073342477372,0.06931651544299894,0.026777777777777827
tcp.seq,1.0070451572219672,0.05933350321130648,0.012888888888888913
tcp.flags,0.8121920294272398,0.04993796249054445,0.0006666666666667043
tcp.ack_raw,0.7639773272938322,0.033143637946939294,0.0025555555555556073
len_uri,0.7496610252715206,0.06902221339039588,0.15555555555555556
tcp.len,0.6792955183415925,0.042051471821816025,0.02922222222222226
len_file_data,0.6563448391320374,0.06486509623727783,0.11188888888888893
tcp.checksum,0.4417027092188621,0.027388336656805692,0.007888888888888945
len_query,0.4036567023491431,0.05471541315426021,0.06833333333333336
len_referer,0.38849898067712063,0.06517266411729936,0.07722222222222226
icmp.seq_le,0.3077017844644039,0.03220163527328935,0.08033333333333337
udp.stream,0.3071555983687828,0.05097905896508928,0.09477777777777781
icmp.checksum,0.29674497609574146,0.03511704735365833,0.0058888888888889435
tcp.flags.ack,0.2950021049905187,0.009390755712806781,0.0
http.content_length,0.18395507768377772,0.009005033276980379,0.0
tcp.connection.syn,0.12195436265220039,0.006142763741809717,0.00033333333333340764
tcp.connection.rst,0.0895590956370591,0.01519822716600947,0.0
http.response,0.08411769682273063,0.003217185496580535,0.0
mqtt.hdrflags,0.07644814676077916,0.004294939319084815,0.0
mqtt.msgtype,0.06753362500011173,0.0055783857307865545,0.0
mqtt.len,0.06253297347359332,0.001745219244547276,0.0
tcp.connection.fin,0.052271186945601844,0.0020854464178862724,0.00011111111111113588
sig_upload,0.03745991701567508,0.0023480304300162297,0.0
sig_password,0.033371881463040154,0.001082453202489493,0.0
udp.port,0.029001000556464263,0.0009268923854789308,0.00033333333333340764
sig_sql,0.023635935936385355,0.0013334202771921532,0.0
sig_xss,0.022849698024298704,0.002516437733793413,0.0
mqtt.conflag.cleansess,0.020239016955653,0.0002504263214192529,0.0
mqtt.topic_len,0.018762457448960213,3.596123171068722e-05,0.0
tcp.connection.synack,0.0180549645665673,0.002363021992545348,0.0016666666666667052
mqtt.conflags,0.016292141559339335,0.0,0.0
arp.hw.size,0.014083006661152808,0.0025015913851846087,0.0
udp.time_delta,0.013511936628712196,0.0009043081150335701,0.0
arp.opcode,0.011556663511621323,0.0023817301993447264,0.0
dns.qry.qu,0.007076061550763235,0.00023888901512779978,0.0
sig_cve,0.00647465596714758,1.623325578295039e-05,0.0
mqtt.proto_len,0.004205736244047298,0.00020072785641277714,0.0
dns.retransmission,0.0019174547474261061,3.694902547650712e-05,0.0
mqtt.ver,0.0011365452920366614,0.00016198490123365224,0.0
icmp.transmit_timestamp,0.0,0.00023960230001017081,0.0
