Feature,Tree_Importance,Mutual_Information,Combined_Rank
tcp.ack,0.11090730878473087,1.3211641220717687,2.0
len_payload,0.09091534144112942,1.1464846953805696,1.6875253642392227
len_uri,0.08945961629345286,0.7487865916922849,1.3733787940700106
len_file_data,0.0835730244420539,0.6706605936029773,1.261167901950094
tcp.seq,0.04058860236235159,1.0150009599642917,1.134231270916201
tcp.flags,0.05058442072560298,0.8072848760856939,1.0671369364270178
tcp.len,0.046031602575514245,0.6960008408321414,0.9418544747085587
len_query,0.07061879728778508,0.39242500289304827,0.9337668072821041
len_referer,0.07089278812796647,0.37685268459026267,0.9244504402760194
tcp.checksum,0.05555555170445708,0.4398613645820597,0.8338534488706406
udp.stream,0.047511557857027174,0.2963613425906728,0.6527081221151873
icmp.checksum,0.04157463030281004,0.303399365780308,0.6045047249896878
tcp.ack_raw,0.03170364307900829,0.37850963012957894,0.5723541678006658
icmp.seq_le,0.03605661911682307,0.30476502119913196,0.55578504149119
tcp.flags.ack,0.01754171117779469,0.3094565417835411,0.39239571505674453
tcp.connection.rst,0.026400390802110162,0.11149262679007288,0.3224298224592941
http.content_length,0.008121938520506822,0.1908758875234322,0.21770730051316872
tcp.connection.syn,0.014627275298184618,0.09644751316166333,0.20488930497384178
http.response,0.01218808488899929,0.07849603496083946,0.16930862954218243
mqtt.hdrflags,0.007711907090237848,0.06415533234509674,0.11809440501292356
mqtt.msgtype,0.006168248566720997,0.06248068106899485,0.10290839144058814
mqtt.len,0.004341540520648517,0.05221541027379706,0.0786679403675573
sig_upload,0.005802296976278739,0.030894313378521776,0.07570079317264411
tcp.connection.fin,0.0035698726002222976,0.055909017046719356,0.07450588836281596
sig_xss,0.0048848137578086205,0.029078040375103864,0.06605351858415914
arp.hw.size,0.004473962947259203,0.019040360882313312,0.05475146426600572
tcp.connection.synack,0.0027176733575956574,0.020940738637921008,0.040354223441247644
arp.opcode,0.0025344689782011995,0.0133017807476552,0.03292036402133816
mqtt.proto_len,0.0011297870354761237,0.025642561727305946,0.02959583416709927
mqtt.topic_len,0.0014656121510858479,0.019999003462629616,0.028352158482868886
sig_password,0.0023602790427195266,0.009169039583573735,0.028221667984137132
sig_sql,0.0022701475561471133,0.009651829797577616,0.027774421868688795
udp.port,0.0010210293358485852,0.020557121275276202,0.024766004458262228
mqtt.conflags,0.0010371944299481632,0.018412729809707873,0.023288650095499335
udp.time_delta,0.0007377687368321954,0.01303440233055353,0.016517966514415994
mqtt.conflag.cleansess,0.000674718587357231,0.01366249539052955,0.01642488123302429
dns.qry.qu,0.0006724319425581434,0.011518117739369949,0.014781166515588346
mqtt.ver,0.0009237159378810462,0.004289243878792703,0.011575284155318347
sig_cve,5.5792330393575e-05,0.007408455889863941,0.0061105749356049986
icmp.transmit_timestamp,0.00056534522313692,0.0,0.0050974568703514855
dns.retransmission,2.848810733388685e-05,0.002227347141081637,0.0019427614984476435
