Trial,Learning_Rate,Weight_Decay,Conv_Channels,GRU_Dim,Dropout,Focal_Gamma,Batch_Size,Validation_Macro_F1,Validation_Accuracy
8,0.004011,0.000115,32,64,0.3,2.0,128,0.9419,0.9478
7,0.003466,2.2e-05,64,64,0.3,1.5,128,0.939,0.9469
10,0.00439,0.000134,32,64,0.2,2.5,128,0.936,0.9444
3,0.002659,1.9e-05,64,32,0.1,1.5,128,0.9357,0.9414
2,0.002677,1.7e-05,64,64,0.1,2.0,128,0.9353,0.9435
5,0.004761,0.000207,32,64,0.1,1.5,256,0.9351,0.9431
1,0.001034,0.000444,32,64,0.1,2.0,128,0.9334,0.9427
11,0.004472,5e-05,32,64,0.3,2.0,128,0.9328,0.938
4,0.001217,6.9e-05,64,64,0.1,2.0,128,0.9305,0.9401
6,0.001869,2.9e-05,32,64,0.1,2.5,256,0.9295,0.9384
0,0.001827,0.000412,32,32,0.1,2.5,256,0.9182,0.9261
9,0.001212,0.000163,32,32,0.2,2.0,256,0.9148,0.9227
