Model,Accuracy,Macro F1,FPR,FNR,P50 Latency (ms),Size (MB),Throughput (eps)
Original Baseline Model,0.8559,0.8421,0.021,0.038,6.394,1.44,4721.8
Logistic Regression,0.7812,0.734,0.045,0.062,0.015,0.01,62500.0
Random Forest,0.9524,0.948,0.0035,0.0075,13.45,15.52,12540.0
Extra Trees,0.9495,0.9442,0.004,0.0085,14.12,18.2,11800.0
XGBoost,0.9546,0.9498,0.0033,0.0071,0.247,2.68,331355.0
LightGBM,0.9507,0.9417,0.0038,0.008,0.326,5.68,285400.0
CNN,0.928,0.9201,0.0068,0.013,0.852,0.1,1173.7
CNN-BiGRU,0.9347,0.9282,0.0058,0.0112,3.018,0.23,331.3
CNN-Attention,0.936,0.9298,0.0054,0.0105,1.24,0.15,806.4
CNN-BiGRU-Attention,0.941,0.9364,0.0045,0.0092,3.48,0.32,287.4
Optimized Proposed Model (PyTorch),0.946,0.9424,0.0032,0.0074,5.88,0.99,170.1
Distilled Student Net,0.924,0.9172,0.0072,0.014,0.18,0.04,5555.5
Quantized INT8 Model,0.945,0.9412,0.0034,0.0076,4.12,0.35,242.7
Best Edge Model (ONNX Runtime),0.946,0.9424,0.0032,0.0074,0.485,0.98,2061.8
Two-Stage Hierarchical Model,0.951,0.9462,0.0034,0.0072,0.38,5.3,2631.5
Neural + XGBoost Ensemble,0.956,0.952,0.003,0.0065,0.732,3.66,1366.1
