Attack Type,Samples,Precision,Recall,F1,Specificity,FPR,FNR,TP,TN,FP,FN,ROC-AUC,Average Confidence,ECE
Backdoor,1529,0.9993,0.9738,0.9864,1.0,0.0,0.0262,1489,22018,1,40,0.9997,0.9511,0.0228
DDoS_HTTP,1584,0.8052,0.8245,0.8147,0.9856,0.0144,0.1755,1306,21648,316,278,0.9925,0.6971,0.1273
DDoS_ICMP,2113,1.0,0.9744,0.9871,1.0,0.0,0.0256,2059,21435,0,54,0.9999,0.9587,0.0157
DDoS_TCP,1537,1.0,0.9206,0.9587,1.0,0.0,0.0794,1415,22011,0,122,0.9989,0.9312,0.0106
DDoS_UDP,2175,0.9859,0.9982,0.992,0.9985,0.0015,0.0018,2171,21342,31,4,1.0,0.9625,0.0356
Fingerprinting,150,0.8503,0.8333,0.8418,0.9991,0.0009,0.1667,125,23376,22,25,0.997,0.6695,0.1639
MITM,60,1.0,0.9833,0.9916,1.0,0.0,0.0167,59,23488,0,1,1.0,0.9785,0.0048
Normal,3645,0.9997,0.9959,0.9978,0.9999,0.0001,0.0041,3630,19902,1,15,0.9999,0.9813,0.0146
Password,1499,0.8071,0.7785,0.7925,0.9873,0.0127,0.2215,1167,21770,279,332,0.9915,0.5996,0.179
Port_Scanning,1511,0.8572,0.9576,0.9047,0.9891,0.0109,0.0424,1447,21796,241,64,0.9978,0.7699,0.1878
Ransomware,1639,0.9317,0.9481,0.9398,0.9948,0.0052,0.0519,1554,21795,114,85,0.9996,0.9009,0.0473
SQL_injection,1546,1.0,1.0,1.0,1.0,0.0,0.0,1546,22002,0,0,1.0,0.9955,0.0045
Uploading,1541,0.9897,0.9994,0.9945,0.9993,0.0007,0.0006,1540,21991,16,1,1.0,0.9757,0.0236
Vulnerability_scanner,1511,1.0,1.0,1.0,1.0,0.0,0.0,1511,22037,0,0,1.0,0.9988,0.0012
XSS,1508,1.0,1.0,1.0,1.0,0.0,0.0,1508,22040,0,0,1.0,0.9967,0.0033
