number,value,datetime_start,datetime_complete,duration,params_conv_channels,params_dropout,params_focal_gamma,params_gru_hidden_dim,params_lambda_center,params_learning_rate,params_weight_decay,state
0,0.08278512018163676,2026-09-19 08:49:09.783719,2026-09-19 08:49:35.378198,0 days 00:00:25.594479,32,0.21230133136667312,1.5723498096391049,64,0.007661359076503146,0.0018480816095604504,1.1747573652797983e-05,COMPLETE
1,0.029805771845548466,2026-09-19 08:49:35.378427,2026-09-19 08:49:56.556098,0 days 00:00:21.177671,32,0.20708211114916583,1.8682247509998349,32,0.006665324441999111,0.0026156036045367212,0.00018031640258050187,COMPLETE
2,0.16083373722391608,2026-09-19 08:49:56.556255,2026-09-19 08:50:20.456760,0 days 00:00:23.900505,64,0.32617680788212317,1.6643703198176967,32,0.008862807701277934,0.002443929017938535,1.532367460679381e-05,COMPLETE
3,0.011064659066229927,2026-09-19 08:50:20.456908,2026-09-19 08:50:43.405560,0 days 00:00:22.948652,64,0.24383115082878667,2.3508360995346713,32,0.01579455395066397,0.0025105276246179006,0.00017216440108605726,COMPLETE
4,0.020482355719253047,2026-09-19 08:50:43.405707,2026-09-19 08:51:05.837551,0 days 00:00:22.431844,64,0.16655007687808102,1.5004718731453406,32,0.009583661129599162,0.0005576299952796822,2.226629881825432e-05,COMPLETE
5,0.09614336281002946,2026-09-19 08:51:05.837700,2026-09-19 08:51:12.451089,0 days 00:00:06.613389,64,0.1639858773615526,2.048117002823572,64,0.007804805192074509,0.0008405128327929597,1.7936762841096246e-05,PRUNED
6,0.08870388814101539,2026-09-19 08:51:12.451208,2026-09-19 08:51:19.232940,0 days 00:00:06.781732,32,0.3306113924468484,2.1964671873947017,64,0.02571422167288006,0.0012610694488241357,1.6115511518421645e-05,PRUNED
7,0.05987214314274665,2026-09-19 08:51:19.233070,2026-09-19 08:51:27.233770,0 days 00:00:08.000700,64,0.2609677874016358,2.4704975762703896,64,0.006298650046358286,0.0011448226499651479,0.00017680848428095082,PRUNED
8,0.04016280993013046,2026-09-19 08:51:27.233888,2026-09-19 08:51:32.635900,0 days 00:00:05.402012,32,0.2221541189729134,1.5907591151866618,64,0.018991262243132113,0.0006366974160754851,2.391345229969032e-05,PRUNED
9,0.011266632106445481,2026-09-19 08:51:32.636025,2026-09-19 08:51:38.371112,0 days 00:00:05.735087,64,0.26367360552150926,2.283243888388247,64,0.006814763712872954,0.0037400211608551114,8.757057829066926e-05,PRUNED
