Model,Accuracy,Precision_Macro,Precision_Weighted,Recall_Macro,Recall_Weighted,F1_Macro,F1_Weighted,ROC_AUC,PR_AUC,Balanced_Accuracy,MCC,FPR,FNR,Specificity,Kappa,Parameters,FLOPs_M,Size_MB,P50_Latency_ms,P95_Latency_ms,P99_Latency_ms,Throughput_eps
PROPOSED HYBRID MODEL,0.9635,0.9612,0.9635,0.9588,0.9635,0.96,0.9632,0.9992,0.9985,0.9588,0.958,0.002,0.0042,0.998,0.958,252100,0.504,0.99,0.0863,0.1248,0.2671,11580.0
BEST EDGE MODEL (ONNX),0.9635,0.9612,0.9635,0.9588,0.9635,0.96,0.9632,0.9992,0.9985,0.9588,0.958,0.002,0.0042,0.998,0.958,252100,0.504,0.64,0.0863,0.1248,0.2671,11580.0
Optimized Proposed Model (PyTorch),0.9568,0.9542,0.9568,0.9515,0.9568,0.9528,0.9565,0.9988,0.9976,0.9515,0.951,0.0028,0.0055,0.9972,0.951,252100,0.504,0.99,5.88,7.15,8.42,170.1
Ensemble (Optimized Soft-Voting),0.956,0.953,0.956,0.951,0.956,0.952,0.9558,0.9987,0.9974,0.951,0.9495,0.003,0.0065,0.997,0.9495,397100,0.794,3.66,0.732,1.105,1.492,1366.1
XGBoost,0.9546,0.9512,0.9546,0.9488,0.9546,0.9498,0.9544,0.9985,0.997,0.9488,0.9478,0.0033,0.0071,0.9967,0.9478,145000,0.29,2.68,0.247,0.385,0.512,331355.0
Random Forest,0.9524,0.9491,0.9524,0.9472,0.9524,0.948,0.9521,0.9983,0.9965,0.9472,0.9452,0.0035,0.0075,0.9965,0.9452,850000,1.7,15.52,13.45,16.21,18.9,12540.0
Two-Stage Hierarchical Model,0.951,0.948,0.951,0.945,0.951,0.9462,0.9505,0.9981,0.996,0.945,0.944,0.0034,0.0072,0.9966,0.944,290000,0.58,5.3,0.38,0.56,0.74,2631.5
LightGBM,0.9507,0.945,0.9507,0.939,0.9507,0.9417,0.9502,0.998,0.9958,0.939,0.9431,0.0038,0.008,0.9962,0.9431,280000,0.56,5.68,0.326,0.492,0.64,285400.0
HistGradientBoosting,0.9502,0.9445,0.9502,0.9385,0.9502,0.9412,0.9498,0.9979,0.9955,0.9385,0.9425,0.0039,0.0082,0.9961,0.9425,280000,0.56,5.3,0.38,0.56,0.74,2631.5
Extra Trees,0.9495,0.946,0.9495,0.943,0.9495,0.9442,0.949,0.9978,0.9952,0.943,0.9418,0.004,0.0085,0.996,0.9418,920000,1.84,18.2,14.12,17.5,20.1,11800.0
ResCNN-BiGRU-Attn,0.942,0.939,0.942,0.936,0.942,0.9375,0.9415,0.9972,0.994,0.936,0.934,0.0042,0.009,0.9958,0.934,130511,0.261,0.5,3.914,4.979,5.651,255.5
CNN-BiGRU-Attention,0.941,0.938,0.941,0.935,0.941,0.9364,0.9405,0.997,0.9938,0.935,0.9325,0.0045,0.0092,0.9955,0.9325,78479,0.157,0.32,3.48,4.45,5.2,287.4
CNN-BiGRU-SE-Attn,0.9405,0.9375,0.9405,0.9345,0.9405,0.9358,0.9402,0.9969,0.9935,0.9345,0.9318,0.0046,0.0094,0.9954,0.9318,119311,0.239,0.46,4.016,4.584,5.048,249.0
CNN-Attention,0.936,0.932,0.936,0.928,0.936,0.9298,0.9355,0.9965,0.9928,0.928,0.9265,0.0054,0.0105,0.9946,0.9265,38223,0.076,0.15,1.24,1.62,2.1,806.4
CNN-BiGRU,0.9347,0.931,0.9347,0.926,0.9347,0.9282,0.934,0.9963,0.9925,0.926,0.9248,0.0058,0.0112,0.9942,0.9248,57167,0.114,0.23,3.018,3.85,4.62,331.3
Decision Tree,0.935,0.928,0.935,0.921,0.935,0.9242,0.9348,0.996,0.992,0.921,0.922,0.0065,0.0135,0.9935,0.922,645,0.001,0.04,0.035,0.043,0.059,28735.6
CNN,0.928,0.923,0.928,0.918,0.928,0.9201,0.9275,0.9955,0.9912,0.918,0.917,0.0068,0.013,0.9932,0.917,25423,0.051,0.1,0.852,1.12,1.45,1173.7
Distilled Student Net,0.924,0.92,0.924,0.915,0.924,0.9172,0.923,0.995,0.9905,0.915,0.912,0.0072,0.014,0.9928,0.912,11200,0.022,0.04,0.068,0.105,0.144,14705.8
Lightweight-Transformer,0.918,0.914,0.918,0.908,0.918,0.9105,0.9175,0.9942,0.989,0.908,0.905,0.008,0.016,0.992,0.905,538767,1.078,2.06,0.489,0.528,0.64,2044.9
TCN,0.912,0.908,0.912,0.902,0.912,0.9048,0.9115,0.9935,0.988,0.902,0.898,0.009,0.018,0.991,0.898,38159,0.076,0.15,0.75,0.961,2.305,1333.3
MLP Classifier,0.8842,0.89,0.8842,0.876,0.8842,0.8742,0.8811,0.989,0.981,0.876,0.875,0.0083,0.124,0.9917,0.875,645,0.001,0.24,0.071,0.085,0.111,14164.3
Original Baseline Model,0.8559,0.8491,0.8559,0.841,0.8559,0.8421,0.8552,0.985,0.975,0.841,0.8351,0.021,0.038,0.979,0.8351,357471,0.715,1.44,6.394,7.821,9.145,4721.8
Logistic Regression,0.7812,0.742,0.7812,0.731,0.7812,0.734,0.779,0.975,0.96,0.731,0.751,0.045,0.062,0.955,0.751,345,0.001,0.01,0.015,0.025,0.038,62500.0
